time,id,start_date,end_date,activity,circumplex.arousal,circumplex.valence,screen,appCat.builtin,appCat.communication,appCat.main,appCat.tools,appCat.contact,mood,mood_label
2014-04-29,AS14.12,2014-04-22,2014-04-29,0.09297144158806886,-0.3333333333333333,0.7999999999999999,6213.7866658369685,2170.3706666666662,566.2073333333332,4260.0509999999995,348.77700000000004,3.6666666666666665,6.133333333333333,6.0
2014-04-30,AS14.12,2014-04-23,2014-04-30,0.09547120998649085,-0.4166666666666667,0.7555555555555555,6387.08266599973,2308.458333333333,907.5833333333334,4035.520666666666,422.2923333333333,2.3333333333333335,6.283333333333334,6.0
2014-05-03,AS14.12,2014-04-26,2014-05-03,0.095443642440176,-0.35000000000000003,0.6222222222222221,5890.8000004291525,2203.919666666666,1131.677,3386.839,212.357,2.6666666666666665,5.95,5.0
2014-05-04,AS14.12,2014-04-27,2014-05-04,0.10724400424278095,-0.4833333333333334,0.22222222222222218,6363.687334219612,2551.422,962.6696666666667,3940.911333333333,210.85266666666666,2.0,5.55,6.0
2014-03-27,AS14.13,2014-03-20,2014-03-27,0.1769706292335057,-0.19999999999999996,1.0,8052.402666330335,278.666,6808.386333333333,1006.4630000000001,472.1713333333334,1.6666666666666667,7.733333333333334,7.0
2014-03-29,AS14.13,2014-03-22,2014-03-29,0.2606115439386953,-1.3333333333333333,1.0,7749.282666683196,216.15066666666667,6562.768333333333,1167.268,413.93066666666664,1.3333333333333333,7.666666666666667,7.0
2014-03-31,AS14.13,2014-03-24,2014-03-31,0.25680213277082475,-1.4000000000000001,0.8666666666666667,6546.310666084289,253.6403333333333,5028.859333333334,1438.5453333333335,350.24100000000004,1.0,7.2,8.0
2014-04-04,AS14.13,2014-03-28,2014-04-04,0.28635150938421966,-1.2,0.8666666666666667,6374.908000866571,553.9313333333333,4982.239333333334,1436.0356666666667,145.93966666666668,1.6666666666666667,7.333333333333333,7.0
2014-04-05,AS14.13,2014-03-29,2014-04-05,0.21514347411597715,-0.5333333333333333,0.7999999999999999,8655.045000314709,517.859,7225.965333333334,1192.2106666666666,171.41,2.222222222222222,7.2,6.0
2014-04-06,AS14.13,2014-03-30,2014-04-06,0.22450818493133604,-0.04999999999999999,0.85,9611.570333878195,810.7913333333332,8370.197666666667,861.3846666666667,349.968,2.6666666666666665,6.95,8.0
2014-04-08,AS14.13,2014-04-01,2014-04-08,0.20037260338800925,0.4166666666666667,0.9833333333333333,10389.599666833874,855.3669999999998,8656.789666666666,882.872,334.10633333333334,2.3333333333333335,7.083333333333333,8.0
2014-04-10,AS14.13,2014-04-03,2014-04-10,0.2512893142201749,0.5499999999999999,1.05,9188.65066663424,919.8433333333332,7513.145666666666,711.4580000000001,325.5156666666667,1.777777777777778,7.349999999999999,7.0
2014-04-11,AS14.13,2014-04-04,2014-04-11,0.3007515607611851,0.6666666666666666,1.2,7593.914666811624,733.882,6179.327333333332,545.4743333333334,199.05700000000002,1.3333333333333333,7.533333333333332,7.0
2014-04-13,AS14.13,2014-04-06,2014-04-13,0.30975328230654836,0.4666666666666666,1.0,6867.734332561493,431.85999999999996,6066.448333333333,216.47366666666673,233.35100000000003,1.3333333333333333,7.0,7.0
